"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
29,Fall 2018,University of Hawai`i at Hilo,"60+ yrs"
85,Fall 2021,Kaua`i Community College,"35-44 yrs"
6,Fall 2015,Leeward Community College,No Data
505,Fall 2019,Leeward Community College,"35-44 yrs"
443,Fall 2019,University of Hawai`i - West O`ahu,"18-19 yrs"
317,Fall 2019,Kaua`i Community College,"18-19 yrs"
39,Fall 2019,Kapi`olani Community College,"60+ yrs"
1264,Fall 2020,University of Hawai`i at Manoa,"35-44 yrs"
527,Fall 2020,University of Hawai`i - West O`ahu,"20-21 yrs"
391,Fall 2020,Windward Community College,<18 yrs
173,Fall 2020,University of Hawai`i at Hilo,<18 yrs
3,Fall 2020,Windward Community College,No Data
115,Fall 2024,University of Hawai`i at Manoa,"60+ yrs"
54,Fall 2024,University of Hawai`i Maui College,"60+ yrs"
202,Fall 2024,Hawai`i Community College,"35-44 yrs"
5574,Fall 2024,University of Hawai`i at Manoa,"18-19 yrs"
358,Fall 2024,University of Hawai`i Maui College,"20-21 yrs"
627,Fall 2024,Windward Community College,"18-19 yrs"
1358,Fall 2024,Kapi`olani Community College,"18-19 yrs"
91,Fall 2024,University of Hawai`i at Hilo,"45-59 yrs"
134,Fall 2024,University of Hawai`i at Hilo,<18 yrs
5,Fall 2024,Leeward Community College,No Data
269,Fall 2023,Kapi`olani Community College,"45-59 yrs"
52,Fall 2023,Leeward Community College,"60+ yrs"
50,Fall 2023,Kaua`i Community College,"30-34 yrs"
279,Fall 2023,Honolulu Community College,"30-34 yrs"
453,Fall 2023,Honolulu Community College,"25-29 yrs"
725,Fall 2023,University of Hawai`i at Hilo,"20-21 yrs"
588,Fall 2023,Windward Community College,"18-19 yrs"
670,Fall 2023,University of Hawai`i at Hilo,"18-19 yrs"
1,Fall 2018,Kapi`olani Community College,No Data
3,Fall 2020,Hawai`i Community College,No Data
4,Fall 2020,University of Hawai`i - West O`ahu,No Data
90,Fall 2010,Kaua`i Community College,"30-34 yrs"
164,Fall 2010,University of Hawai`i at Hilo,"45-59 yrs"
30,Fall 2010,Kaua`i Community College,"60+ yrs"
640,Fall 2010,Windward Community College,"18-19 yrs"
4504,Fall 2011,University of Hawai`i at Manoa,"22-24 yrs"
352,Fall 2011,Hawai`i Community College,"30-34 yrs"
103,Fall 2011,University of Hawai`i at Manoa,"60+ yrs"
881,Fall 2012,Honolulu Community College,"20-21 yrs"
2172,Fall 2012,Leeward Community College,"18-19 yrs"
809,Fall 2012,University of Hawai`i at Hilo,"18-19 yrs"
369,Fall 2012,Honolulu Community College,"35-44 yrs"
88,Fall 2012,Kaua`i Community College,"30-34 yrs"
412,Fall 2013,University of Hawai`i Maui College,"45-59 yrs"
218,Fall 2013,University of Hawai`i - West O`ahu,"35-44 yrs"
541,Fall 2013,University of Hawai`i Maui College,"22-24 yrs"
418,Fall 2013,University of Hawai`i at Manoa,<18 yrs
569,Fall 2013,University of Hawai`i Maui College,"20-21 yrs"
514,Fall 2021,Honolulu Community College,"20-21 yrs"
994,Fall 2021,Kapi`olani Community College,"22-24 yrs"
640,Fall 2021,University of Hawai`i at Manoa,"45-59 yrs"
