"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
180,Fall 2020,Windward Community College,"30-34 yrs"
10,Fall 2021,Windward Community College,No Data
19,Fall 2021,Leeward Community College,No Data
75,Fall 2024,Windward Community College,"60+ yrs"
44,Fall 2024,Leeward Community College,"60+ yrs"
43,Fall 2024,Kaua`i Community College,"45-59 yrs"
273,Fall 2024,Honolulu Community College,"30-34 yrs"
1482,Fall 2024,Leeward Community College,"18-19 yrs"
747,Fall 2024,Honolulu Community College,"18-19 yrs"
411,Fall 2024,Honolulu Community College,<18 yrs
593,Fall 2023,University of Hawai`i at Manoa,"45-59 yrs"
470,Fall 2023,University of Hawai`i - West O`ahu,"20-21 yrs"
11,Fall 2017,Windward Community College,No Data
